GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESP001,ESP002,ESP003,ESP004,ESP005
"G01017176","1990",,,,,,,,,,"99999",,,"6",,"Coosada town","17176",,"3","Alabama","01",,,,"Coosada town",182,105,12,5,3
"G01017368","1990",,,,,,,,,,"99999",,,"6",,"Cordova city","17368",,"3","Alabama","01",,,,"Cordova city",708,316,22,3,2
"G01017824","1990",,,,,,,,,,"99999",,,"6",,"Cottonwood town","17824",,"3","Alabama","01",,,,"Cottonwood town",315,164,22,7,2
"G01017968","1990",,,,,,,,,,"99999",,,"6",,"County Line town","17968",,"3","Alabama","01",,,,"County Line town",29,29,4,3,0
"G01017992","1990",,,,,,,,,,"99999",,,"6",,"County Line town","17992",,"3","Alabama","01",,,,"County Line town",31,16,1,1,0
"G01018040","1990",,,,,,,,,,"99999",,,"6",,"Courtland town","18040",,"3","Alabama","01",,,,"Courtland town",213,95,7,3,2
"G01018088","1990",,,,,,,,,,"99999",,,"6",,"Cowarts town","18088",,"3","Alabama","01",,,,"Cowarts town",303,188,15,2,0
"G01018304","1990",,,,,,,,,,"99999",,,"6",,"Creola city","18304",,"3","Alabama","01",,,,"Creola city",355,266,34,7,0
"G01018856","1990",,,,,,,,,,"99999",,,"6",,"Crossville town","18856",,"3","Alabama","01",,,,"Crossville town",338,143,6,1,0
"G01018952","1990",,,,,,,,,,"99999",,,"6",,"Cuba town","18952",,"3","Alabama","01",,,,"Cuba town",122,41,2,1,0
"G01018976","1990",,,,,,,,,,"99999",,,"6",,"Cullman city","18976",,"3","Alabama","01",,,,"Cullman city",4301,1261,53,5,0
"G01019336","1990",,,,,,,,,,"99999",,,"6",,"Dadeville city","19336",,"3","Alabama","01",,,,"Dadeville city",703,367,48,12,5
"G01019360","1990",,,,,,,,,,"99999",,,"6",,"Daleville city","19360",,"3","Alabama","01",,,,"Daleville city",1272,718,66,17,6
"G01019648","1990",,,,,,,,,,"99999",,,"6",,"Daphne city","19648",,"3","Alabama","01",,,,"Daphne city",3167,1164,49,26,5
"G01019744","1990",,,,,,,,,,"99999",,,"6",,"Dauphin Island town","19744",,"3","Alabama","01",,,,"Dauphin Island town",271,80,3,1,0
"G01019816","1990",,,,,,,,,,"99999",,,"6",,"Daviston town","19816",,"3","Alabama","01",,,,"Daviston town",61,33,3,2,1
"G01019912","1990",,,,,,,,,,"99999",,,"6",,"Dayton town","19912",,"3","Alabama","01",,,,"Dayton town",16,5,1,2,1
"G01020104","1990",,,,,,,,,,"99999",,,"6",,"Decatur city","20104",,"3","Alabama","01",,,,"Decatur city",13567,5182,308,73,4
