GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,F90001,F90002,F90003,F90004,F90005,F90006,F90007,F90008,F90009,F90010
"G01013264","2000","3","6","Alabama","01",,,"Center Point CDP","13264",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Center Point CDP",4672,1371,42,0,0,1536,940,164,7,32
"G01013648","2000","3","6","Alabama","01",,,"Centre city","13648",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Centre city",736,95,10,0,0,403,141,0,13,0
"G01013672","2000","3","6","Alabama","01",,,"Centreville city","13672",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Centreville city",532,130,18,8,0,150,107,5,0,0
"G01013720","2000","3","6","Alabama","01",,,"Chalkville CDP","13720",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Chalkville CDP",763,447,0,0,0,34,25,6,0,0
"G01014008","2000","3","6","Alabama","01",,,"Chatom town","14008",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chatom town",209,76,4,0,1,89,53,11,2,3
"G01014104","2000","3","6","Alabama","01",,,"Chelsea town","14104",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Chelsea town",581,255,5,0,0,103,21,9,3,0
"G01014152","2000","3","6","Alabama","01",,,"Cherokee town","14152",,,,,,,,,,,"2650","9999","9999",,,,,,,,"Cherokee town",288,110,2,0,0,64,45,8,0,0
"G01014392","2000","3","6","Alabama","01",,,"Chickasaw city","14392",,,,,,,,,,,"5160","9999","9999",,,,,,,,"Chickasaw city",1465,325,12,6,0,606,326,29,10,0
"G01014464","2000","3","6","Alabama","01",,,"Childersburg city","14464",,,,,,,,,,,"####","9999","9999",,,,,,,,"Childersburg city",1066,361,20,0,0,372,164,23,0,0
"G01015064","2000","3","6","Alabama","01",,,"Citronelle city","15064",,,,,,,,,,,"5160","9999","9999",,,,,,,,"Citronelle city",656,298,28,0,0,192,95,28,5,0
"G01015136","2000","3","6","Alabama","01",,,"Clanton city","15136",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clanton city",1720,456,20,0,0,636,334,36,13,0
"G01015256","2000","3","6","Alabama","01",,,"Clay CDP","15256",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Clay CDP",907,583,0,0,0,18,56,8,0,8
"G01015304","2000","3","6","Alabama","01",,,"Clayhatchee town","15304",,,,,,,,,,,"2180","9999","9999",,,,,,,,"Clayhatchee town",132,27,1,0,0,39,15,3,0,0
"G01015376","2000","3","6","Alabama","01",,,"Clayton town","15376",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clayton town",291,90,11,7,0,99,79,20,2,3
"G01015472","2000","3","6","Alabama","01",,,"Cleveland town","15472",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Cleveland town",238,103,8,3,4,44,28,6,7,4
"G01015640","2000","3","6","Alabama","01",,,"Clio town","15640",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clio town",229,77,4,6,4,51,50,5,13,5
"G01016000","2000","3","6","Alabama","01",,,"Coaling city","16000",,,,,,,,,,,"8600","9999","9999",,,,,,,,"Coaling city",256,148,17,0,0,52,5,0,0,0
"G01016240","2000","3","6","Alabama","01",,,"Coffee Springs town","16240",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coffee Springs town",80,23,2,0,0,10,3,0,0,0
"G01016264","2000","3","6","Alabama","01",,,"Coffeeville town","16264",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coffeeville town",100,22,4,0,0,28,10,0,0,0
"G01016312","2000","3","6","Alabama","01",,,"Coker town","16312",,,,,,,,,,,"8600","9999","9999",,,,,,,,"Coker town",193,65,15,0,0,15,0,0,0,0
"G01016600","2000","3","6","Alabama","01",,,"Collinsville town","16600",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Collinsville town",261,80,11,7,5,118,59,8,4,13
"G01016684","2000","3","6","Alabama","01",,,"Colony town","16684",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Colony town",67,52,0,0,0,21,3,0,0,0
"G01016744","2000","3","6","Alabama","01",,,"Columbia town","16744",,,,,,,,,,,"2180","9999","9999",,,,,,,,"Columbia town",202,70,2,0,0,45,23,4,0,0
"G01016768","2000","3","6","Alabama","01",,,"Columbiana city","16768",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Columbiana city",627,215,15,0,0,285,97,3,5,0
"G01016936","2000","3","6","Alabama","01",,,"Concord CDP","16936",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Concord CDP",515,203,0,0,0,75,18,0,0,0
"G01017176","2000","3","6","Alabama","01",,,"Coosada town","17176",,,,,,,,,,,"5240","9999","9999",,,,,,,,"Coosada town",261,136,6,0,2,40,27,2,0,0
"G01017368","2000","3","6","Alabama","01",,,"Cordova city","17368",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cordova city",482,151,6,0,0,275,83,22,0,0
"G01017824","2000","3","6","Alabama","01",,,"Cottonwood town","17824",,,,,,,,,,,"2180","9999","9999",,,,,,,,"Cottonwood town",236,77,3,5,2,77,71,5,2,0
"G01017968","2000","3","6","Alabama","01",,,"County Line town","17968",,,,,,,,,,,"1000","9999","9999",,,,,,,,"County Line town",48,26,0,0,0,3,4,0,0,0
"G01018040","2000","3","6","Alabama","01",,,"Courtland town","18040",,,,,,,,,,,"2030","9999","9999",,,,,,,,"Courtland town",161,62,7,0,2,62,18,10,0,0
"G01018088","2000","3","6","Alabama","01",,,"Cowarts town","18088",,,,,,,,,,,"2180","9999","9999",,,,,,,,"Cowarts town",406,116,9,0,0,60,21,2,3,0
"G01018304","2000","3","6","Alabama","01",,,"Creola town","18304",,,,,,,,,,,"5160","9999","9999",,,,,,,,"Creola town",344,188,11,0,4,73,72,13,6,0
"G01018856","2000","3","6","Alabama","01",,,"Crossville town","18856",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Crossville town",260,104,4,0,0,120,60,5,0,0
"G01018952","2000","3","6","Alabama","01",,,"Cuba town","18952",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cuba town",120,28,2,0,0,13,4,0,0,0
"G01018976","2000","3","6","Alabama","01",,,"Cullman city","18976",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cullman city",2882,594,62,18,6,1818,531,38,49,28
"G01019336","2000","3","6","Alabama","01",,,"Dadeville city","19336",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dadeville city",622,226,15,0,0,176,82,6,0,0
"G01019360","2000","3","6","Alabama","01",,,"Daleville city","19360",,,,,,,,,,,"2180","9999","9999",,,,,,,,"Daleville city",819,248,9,0,0,526,318,26,21,7
"G01019648","2000","3","6","Alabama","01",,,"Daphne city","19648",,,,,,,,,,,"5160","9999","9999",,,,,,,,"Daphne city",3807,938,33,34,14,1133,567,61,7,0
"G01019744","2000","3","6","Alabama","01",,,"Dauphin Island town","19744",,,,,,,,,,,"5160","9999","9999",,,,,,,,"Dauphin Island town",347,99,6,0,0,81,61,3,3,0
"G01019816","2000","3","6","Alabama","01",,,"Daviston town","19816",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Daviston town",67,20,2,0,0,15,5,0,0,0
"G01019912","2000","3","6","Alabama","01",,,"Dayton town","19912",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dayton town",9,5,2,0,0,0,0,0,0,0
"G01020008","2000","3","6","Alabama","01",,,"Deatsville town","20008",,,,,,,,,,,"5240","9999","9999",,,,,,,,"Deatsville town",68,51,0,0,0,23,10,0,0,0
"G01020104","2000","3","6","Alabama","01",,,"Decatur city","20104",,,,,,,,,,,"####","9999","9999",,,,,,,,"Decatur city",10958,2810,163,58,0,4834,2436,328,178,83
"G01020296","2000","3","6","Alabama","01",,,"Demopolis city","20296",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Demopolis city",1442,529,43,9,0,582,334,50,29,0
"G01020392","2000","3","6","Alabama","01",,,"Detroit town","20392",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Detroit town",48,16,0,0,0,18,12,0,0,0
"G01020955","2000","3","6","Alabama","01",,,"Dodge City town","20955",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dodge City town",129,53,3,0,0,23,32,0,0,0
"G01021136","2000","3","6","Alabama","01",,,"Dora city","21136",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dora city",556,178,9,0,0,190,71,7,0,0
"G01021184","2000","3","6","Alabama","01",,,"Dothan city","21184",,,,,,,,,,,"####","9999","9999",,,,,,,,"Dothan city",11611,3200,130,37,0,5658,2749,274,46,43
"G01021280","2000","3","6","Alabama","01",,,"Double Springs town","21280",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Double Springs town",222,69,0,0,0,98,47,2,3,0
"G01021328","2000","3","6","Alabama","01",,,"Douglas town","21328",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Douglas town",114,45,3,0,0,35,18,2,0,0
"G01021448","2000","3","6","Alabama","01",,,"Dozier town","21448",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dozier town",56,14,0,0,0,64,21,4,4,0
"G01021952","2000","3","6","Alabama","01",,,"Dutton town","21952",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dutton town",91,24,3,0,0,13,4,0,0,0
"G01022216","2000","3","6","Alabama","01",,,"East Brewton city","22216",,,,,,,,,,,"9999","9999","9999",,,,,,,,"East Brewton city",467,172,6,0,0,229,150,7,4,0
"G01022816","2000","3","6","Alabama","01",,,"Eclectic town","22816",,,,,,,,,,,"5240","9999","9999",,,,,,,,"Eclectic town",195,78,7,10,0,67,39,2,2,4
"G01023032","2000","3","6","Alabama","01",,,"Edgewater CDP","23032",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Edgewater CDP",160,100,5,0,0,26,9,0,0,0
"G01023176","2000","3","6","Alabama","01",,,"Edwardsville town","23176",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Edwardsville town",56,17,5,0,0,13,0,0,3,0
"G01023296","2000","3","6","Alabama","01",,,"Elba city","23296",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Elba city",821,210,9,0,0,322,189,41,9,0
"G01023320","2000","3","6","Alabama","01",,,"Elberta town","23320",,,,,,,,,,,"5160","9999","9999",,,,,,,,"Elberta town",119,29,3,0,0,38,28,3,3,2
"G01023344","2000","3","6","Alabama","01",,,"Eldridge town","23344",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Eldridge town",37,15,0,0,0,20,0,0,0,0
"G01023488","2000","3","6","Alabama","01",,,"Elkmont town","23488",,,,,,,,,,,"3440","9999","9999",,,,,,,,"Elkmont town",93,42,0,0,0,16,10,2,0,0
"G01023656","2000","3","6","Alabama","01",,,"Elmore town","23656",,,,,,,,,,,"5240","9999","9999",,,,,,,,"Elmore town",51,11,0,0,0,14,7,0,0,0
"G01023872","2000","3","6","Alabama","01",,,"Emelle town","23872",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Emelle town",13,0,0,0,0,3,0,0,0,0
"G01024184","2000","3","6","Alabama","01",,,"Enterprise city","24184",,,,,,,,,,,"####","9999","9999",,,,,,,,"Enterprise city",4254,1105,42,10,6,1993,953,90,58,13
"G01024256","2000","3","6","Alabama","01",,,"Epes town","24256",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Epes town",43,21,3,0,0,10,5,0,0,0
"G01024472","2000","3","6","Alabama","01",,,"Ethelsville town","24472",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Ethelsville town",23,9,0,0,0,2,0,0,0,0
"G01024568","2000","3","6","Alabama","01",,,"Eufaula city","24568",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Eufaula city",2561,875,53,22,6,1215,598,53,64,5
"G01024616","2000","3","6","Alabama","01",,,"Eunola town","24616",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Eunola town",65,18,0,0,0,10,2,0,0,0
"G01024664","2000","3","6","Alabama","01",,,"Eutaw city","24664",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Eutaw city",460,141,2,5,1,95,70,2,4,2
"G01024688","2000","3","6","Alabama","01",,,"Eva town","24688",,,,,,,,,,,"2030","9999","9999",,,,,,,,"Eva town",137,29,2,0,0,19,5,0,0,0
"G01024808","2000","3","6","Alabama","01",,,"Evergreen city","24808",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Evergreen city",695,251,0,0,0,399,193,25,9,0
