GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CCO001,CCO002,CCO003
"G1301765","1970","Georgia","13",,,"Martin","1765",,,,,,,,,,,"Martin",56,4,4
"G1301770","1970","Georgia","13",,,"Matthews","1770",,,,,,,,,,,"Matthews",36,1,0
"G1301775","1970","Georgia","13",,,"Maxeys","1775",,,,,,,,,,,"Maxeys",50,11,4
"G1301780","1970","Georgia","13",,,"Maysville","1780",,,,,,,,,,,"Maysville",191,11,1
"G1301785","1970","Georgia","13",,,"Meansville","1785",,,,,,,,,,,"Meansville",75,13,6
"G1301790","1970","Georgia","13",,,"Meigs","1790",,,,,,,,,,,"Meigs",298,39,31
"G1301795","1970","Georgia","13",,,"Menlo","1795",,,,,,,,,,,"Menlo",177,14,4
"G1301800","1970","Georgia","13",,,"Merrillville","1800",,,,,,,,,,,"Merrillville",31,5,1
"G1301810","1970","Georgia","13",,,"Metcalf","1810",,,,,,,,,,,"Metcalf",47,9,3
"G1301815","1970","Georgia","13",,,"Metter","1815",,,,,,,,,,,"Metter",845,69,26
"G1301820","1970","Georgia","13",,,"Middleton","1820",,,,,,,,,,,"Middleton",23,2,2
"G1301825","1970","Georgia","13",,,"Midville","1825",,,,,,,,,,,"Midville",242,10,13
"G1301830","1970","Georgia","13",,,"Midway","1830",,,,,,,,,,,"Midway",49,3,3
"G1301835","1970","Georgia","13",,,"Midway-Hardwick (U)","1835",,,,,,,,,,,"Midway-Hardwick (U)",1364,111,56
"G1301840","1970","Georgia","13",,,"Milan","1840",,,,,,,,,,,"Milan",289,22,18
"G1301845","1970","Georgia","13",,,"Milledgeville","1845",,,,,,,,,,,"Milledgeville",2812,263,229
"G1301850","1970","Georgia","13",,,"Millen","1850",,,,,,,,,,,"Millen",1001,91,73
"G1301855","1970","Georgia","13",,,"Milner","1855",,,,,,,,,,,"Milner",88,4,6
"G1301860","1970","Georgia","13",,,"Milstead (U)","1860",,,,,,,,,,,"Milstead (U)",243,43,23
"G1301865","1970","Georgia","13",,,"Mineral Bluff","1865",,,,,,,,,,,"Mineral Bluff",36,3,0
"G1301870","1970","Georgia","13",,,"Minter","1870",,,,,,,,,,,"Minter",66,3,2
"G1301875","1970","Georgia","13",,,"Mitchell","1875",,,,,,,,,,,"Mitchell",54,4,5
"G1301880","1970","Georgia","13",,,"Modoc","1880",,,,,,,,,,,"Modoc",7,1,0
"G1301885","1970","Georgia","13",,,"Molena","1885",,,,,,,,,,,"Molena",83,6,14
"G1301890","1970","Georgia","13",,,"Monroe","1890",,,,,,,,,,,"Monroe",2140,230,114
"G1301895","1970","Georgia","13",,,"Montezuma","1895",,,,,,,,,,,"Montezuma",1053,98,83
"G1301900","1970","Georgia","13",,,"Monticello","1900",,,,,,,,,,,"Monticello",594,55,52
"G1301905","1970","Georgia","13",,,"Montrose","1905",,,,,,,,,,,"Montrose",47,5,7
"G1301907","1970","Georgia","13",,,"Moody (U)","1907",,,,,,,,,,,"Moody (U)",126,20,4
"G1301910","1970","Georgia","13",,,"Moreland","1910",,,,,,,,,,,"Moreland",93,13,2
"G1301915","1970","Georgia","13",,,"Morgan","1915",,,,,,,,,,,"Morgan",75,8,6
"G1301920","1970","Georgia","13",,,"Morganton","1920",,,,,,,,,,,"Morganton",64,6,1
"G1301925","1970","Georgia","13",,,"Morrow","1925",,,,,,,,,,,"Morrow",976,30,6
"G1301930","1970","Georgia","13",,,"Morven","1930",,,,,,,,,,,"Morven",108,15,9
"G1301935","1970","Georgia","13",,,"Moultrie","1935",,,,,,,,,,,"Moultrie",4022,307,214
"G1301940","1970","Georgia","13",,,"Mountain City","1940",,,,,,,,,,,"Mountain City",184,13,2
"G1301945","1970","Georgia","13",,,"Mountain Park","1945",,,,,,,,,,,"Mountain Park",76,6,1
"G1301955","1970","Georgia","13",,,"Mount Airy","1955",,,,,,,,,,,"Mount Airy",121,12,6
"G1301960","1970","Georgia","13",,,"Mount Vernon","1960",,,,,,,,,,,"Mount Vernon",338,28,18
"G1301965","1970","Georgia","13",,,"Mountville","1965",,,,,,,,,,,"Mountville",47,5,7
"G1301970","1970","Georgia","13",,,"Mount Zion","1970",,,,,,,,,,,"Mount Zion",78,4,1
"G1301980","1970","Georgia","13",,,"Nahunta","1980",,,,,,,,,,,"Nahunta",254,28,10
"G1301985","1970","Georgia","13",,,"Nashville","1985",,,,,,,,,,,"Nashville",1236,111,30
"G1301990","1970","Georgia","13",,,"Naylor","1990",,,,,,,,,,,"Naylor",58,8,3
"G1302000","1970","Georgia","13",,,"Nelson","2000",,,,,,,,,,,"Nelson",148,20,11
"G1302005","1970","Georgia","13",,,"Newborn","2005",,,,,,,,,,,"Newborn",70,7,8
"G1302010","1970","Georgia","13",,,"Newington","2010",,,,,,,,,,,"Newington",117,11,5
"G1302015","1970","Georgia","13",,,"Newnan","2015",,,,,,,,,,,"Newnan",3178,277,117
"G1302020","1970","Georgia","13",,,"Newton","2020",,,,,,,,,,,"Newton",183,16,5
"G1302025","1970","Georgia","13",,,"Nicholls","2025",,,,,,,,,,,"Nicholls",288,37,25
"G1302030","1970","Georgia","13",,,"Nicholson","2030",,,,,,,,,,,"Nicholson",112,10,1
"G1302035","1970","Georgia","13",,,"Norcross","2035",,,,,,,,,,,"Norcross",765,54,26
"G1302040","1970","Georgia","13",,,"Norman Park","2040",,,,,,,,,,,"Norman Park",194,19,14
"G1302045","1970","Georgia","13",,,"Normantown","2045",,,,,,,,,,,"Normantown",21,1,0
"G1302060","1970","Georgia","13",,,"North High Shoals","2060",,,,,,,,,,,"North High Shoals",50,5,1
"G1302065","1970","Georgia","13",,,"Norwood","2065",,,,,,,,,,,"Norwood",59,5,10
"G1302070","1970","Georgia","13",,,"Nunez","2070",,,,,,,,,,,"Nunez",30,2,1
"G1302075","1970","Georgia","13",,,"Oakfield","2075",,,,,,,,,,,"Oakfield",33,9,5
"G1302080","1970","Georgia","13",,,"Oakman","2080",,,,,,,,,,,"Oakman",49,6,2
"G1302085","1970","Georgia","13",,,"Oak Park","2085",,,,,,,,,,,"Oak Park",63,7,2
