year,GISJOIN,state,county,total,occupied,vacant,pct.vacant,crowded,pct.crowded,usa.crowded,z.crowded
1980,G1901650,IA,SHELBY COUNTY,5611,5218,393,0.0700409909107111,NA,NA,NA,NA
1980,G1901670,IA,SIOUX COUNTY,10414,9915,499,0.047916266564240445,NA,NA,NA,NA
1980,G1901690,IA,STORY COUNTY,25154,23665,1489,0.05919535660332353,381,0.019147653030455323,NA,NA
1980,G1901710,IA,TAMA COUNTY,7716,7086,630,0.08164852255054432,7,0.007551240560949299,NA,NA
1980,G1901730,IA,TAYLOR COUNTY,3682,3284,398,0.10809342748506247,NA,NA,NA,NA
1980,G1901750,IA,UNION COUNTY,5748,5314,434,0.07550452331245651,NA,NA,NA,NA
1980,G1901770,IA,VAN BUREN COUNTY,3484,3195,289,0.08295063145809414,NA,NA,NA,NA
1980,G1901790,IA,WAPELLO COUNTY,16350,15436,914,0.055902140672782874,267,0.02446399120395822,NA,NA
1980,G1901810,IA,WARREN COUNTY,12177,11513,664,0.05452903013878624,136,0.016506857628352956,NA,NA
1980,G1901830,IA,WASHINGTON COUNTY,7693,7213,480,0.062394384505394515,NA,NA,NA,NA
1980,G1901850,IA,WAYNE COUNTY,3852,3315,537,0.1394080996884735,NA,NA,NA,NA
1980,G1901870,IA,WEBSTER COUNTY,17799,16886,913,0.05129501657396483,291,0.018837389953392025,NA,NA
1980,G1901890,IA,WINNEBAGO COUNTY,5251,4845,406,0.07731860597981337,NA,NA,NA,NA
1980,G1901910,IA,WINNESHIEK COUNTY,7420,7063,357,0.048113207547169815,44,0.017200938232994525,NA,NA
1980,G1901930,IA,WOODBURY COUNTY,39022,36632,2390,0.06124750140946133,760,0.021742240022886567,NA,NA
1980,G1901950,IA,WORTH COUNTY,3724,3452,272,0.07303974221267455,NA,NA,NA,NA
1980,G1901970,IA,WRIGHT COUNTY,6945,6243,702,0.10107991360691145,NA,NA,NA,NA
1980,G2000010,KS,ALLEN COUNTY,6838,5997,841,0.12298917812225797,NA,NA,NA,NA
1980,G2000030,KS,ANDERSON COUNTY,3628,3317,311,0.08572216097023153,NA,NA,NA,NA
1980,G2000050,KS,ATCHISON COUNTY,6910,6225,685,0.09913169319826338,95,0.024352730069213024,NA,NA
1980,G2000070,KS,BARBER COUNTY,3033,2628,405,0.13353115727002968,NA,NA,NA,NA
1980,G2000090,KS,BARTON COUNTY,12871,11797,1074,0.08344339989122834,128,0.020065841040915505,NA,NA
1980,G2000110,KS,BOURBON COUNTY,7194,6388,806,0.11203780928551571,54,0.014232999472851872,NA,NA
1980,G2000130,KS,BROWN COUNTY,5224,4612,612,0.11715160796324656,NA,NA,NA,NA
1980,G2000150,KS,BUTLER COUNTY,17248,16087,1161,0.0673121521335807,356,0.022129669919811027,NA,NA
1980,G2000170,KS,CHASE COUNTY,1568,1303,265,0.1690051020408163,NA,NA,NA,NA
1980,G2000190,KS,CHAUTAUQUA COUNTY,2320,2034,286,0.12327586206896551,NA,NA,NA,NA
1980,G2000210,KS,CHEROKEE COUNTY,9315,8550,765,0.0821256038647343,91,0.03783783783783784,NA,NA
1980,G2000230,KS,CHEYENNE COUNTY,1782,1516,266,0.14927048260381592,NA,NA,NA,NA
1980,G2000250,KS,CLARK COUNTY,1278,1049,229,0.17918622848200313,NA,NA,NA,NA
1980,G2000270,KS,CLAY COUNTY,4247,3830,417,0.0981869554979986,NA,NA,NA,NA
1980,G2000290,KS,CLOUD COUNTY,5497,4758,739,0.1344369656176096,34,0.012957317073170731,NA,NA
1980,G2000310,KS,COFFEY COUNTY,3861,3526,335,0.08676508676508676,NA,NA,NA,NA
1980,G2000330,KS,COMANCHE COUNTY,1171,1001,170,0.14517506404782238,NA,NA,NA,NA
1980,G2000350,KS,COWLEY COUNTY,15133,13897,1236,0.08167580783717703,144,0.01569824484901341,NA,NA
1980,G2000370,KS,CRAWFORD COUNTY,16822,15212,1610,0.09570800142670313,156,0.02016285381930981,NA,NA
1980,G2000390,KS,DECATUR COUNTY,2154,1795,359,0.16666666666666666,NA,NA,NA,NA
1980,G2000410,KS,DICKINSON COUNTY,8684,7716,968,0.11146936895439889,50,0.018839487565938208,NA,NA
1980,G2000430,KS,DONIPHAN COUNTY,3805,3356,449,0.11800262812089356,132,0.03933253873659118,NA,NA
1980,G2000450,KS,DOUGLAS COUNTY,25494,23817,1677,0.06578018357260532,469,0.023425403326507166,NA,NA
1980,G2000470,KS,EDWARDS COUNTY,1990,1725,265,0.13316582914572864,NA,NA,NA,NA
1980,G2000490,KS,ELK COUNTY,1975,1640,335,0.16962025316455695,NA,NA,NA,NA
1980,G2000510,KS,ELLIS COUNTY,10248,9200,1048,0.10226385636221702,59,0.011518937914877,NA,NA
1980,G2000530,KS,ELLSWORTH COUNTY,3270,2622,648,0.1981651376146789,NA,NA,NA,NA
